,FullInfo Time,Duplex,EndofSet Time,EosVal,Eos - Full,IDInfo Time,IDInfo_ID,Exit Time,Delivered Time,Target Bin,EXIT ID,Fault,Error Code,ID - Eos,Eos >> ID,Exit - ID,Del - Exit,Pass / Fail
5,352226,0,352246,1294,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
135,5861226,1,5861246,1304,20,5864196,59,5871506,5874276,2,151,1817236.0,0,2950,1,7310,2770,1
122,5767556,1,5767576,220,20,5768786,50,5776366,5779146,2,134,1817236.0,0,1210,1,7580,2780,1
167,6111436,1,6111456,220,20,6112656,80,6120236,6123016,2,194,1817236.0,0,1200,1,7580,2780,1
85,1750196,0,1750216,1302,20,1751676,45,1971546.0,5724436.0,1,126.0,1752276,703,1460,1,7320.0,2770.0,0
56,1045666,1,1045686,220,20,1051736,27,1059326,1062106,2,66,1817236.0,0,6050,1,7590,2780,1
95,1862706,0,1862726,1304,20,1864186,45,1971546.0,5724436.0,1,126.0,1864786,703,1460,1,7320.0,2770.0,0
35,778026,1,778046,1304,20,780996,16,788306,791076,2,40,1817236.0,0,2950,1,7310,2770,1
190,6345896,0,6345916,220,20,6352166,92,6355336,5724436.0,1,126.0,1817236.0,0,6250,1,3170,2770.0,0
42,844936,1,844956,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
65,1116206,1,1116226,220,20,1117466,33,1125046,1127816,2,78,1817236.0,0,1240,1,7580,2770,1
104,2130036,0,2130056,220,20,2131546,42,2134026,5724436.0,1,126.0,1817236.0,0,1490,1,2480,2770.0,0
159,6042116,1,6042126,1295,10,6045076,75,6052386,6055166,2,183,1817236.0,0,2950,1,7310,2780,1
78,1665236,0,1665256,220,20,1680506,39,1683006,1685986,2,93,1817236.0,0,15250,1,2500,2980,1
76,1213346,0,1213366,1294,20,1214816,41,1971546.0,5724436.0,1,126.0,1216356,703,1450,1,7320.0,2770.0,0
29,731936,1,731956,1304,20,734906,12,742216,744996,2,32,1817236.0,0,2950,1,7310,2780,1
136,5880506,1,5880516,220,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
60,1070416,1,1070436,1294,20,1073376,30,1080686,1083466,2,71,1817236.0,0,2940,1,7310,2780,1
51,932896,0,932906,1327,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
165,6089616,1,6089636,1294,20,6092576,79,6099876,6102646,2,191,1817236.0,0,2940,1,7300,2770,1
38,800626,1,800646,1305,20,803596,18,810906,813686,2,44,1817236.0,0,2950,1,7310,2780,1
31,754206,1,754226,220,20,755436,13,763026,765806,2,35,1817236.0,0,1210,1,7590,2780,1
173,6157746,1,6157766,220,20,6159016,84,6166596,6169366,2,202,1817236.0,0,1250,1,7580,2770,1
12,602306,1,602326,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
109,5666186,1,5666206,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
41,823226,1,823246,1304,20,826196,20,833506,836276,2,48,1817236.0,0,2950,1,7310,2770,1
132,5838346,1,5838356,1305,10,5841316,57,5848646,5851406,2,147,1817236.0,0,2960,1,7330,2760,1
100,1943126,0,1943136,1294,10,1944596,45,1971546.0,5724436.0,1,126.0,1945186,703,1460,1,7320.0,2770.0,0
26,708516,1,708526,1305,10,711486,10,718806,721586,2,28,1817236.0,0,2960,1,7320,2780,1
128,5813716,1,5813726,220,10,5815006,54,5822586,5825366,2,142,1817236.0,0,1280,1,7580,2780,1
186,6252456,0,6252476,1295,20,6253926,93,6257096,5724436.0,1,126.0,1817236.0,0,1450,1,3170,2770.0,0
98,1940126,0,1940136,1294,10,1941596,43,1944076,5724436.0,1,126.0,1817236.0,0,1460,1,2480,2770.0,0
2,347726,0,347746,1293,20,349196,2,351666,5724436.0,1,126.0,1817236.0,0,1450,1,2470,2770.0,0
46,870066,1,870076,220,10,871406,23,878976,881756,2,55,1817236.0,0,1330,1,7570,2780,1
137,5882126,1,5882146,220,20,5883376,60,5890966,5893736,2,154,1817236.0,0,1230,1,7590,2770,1
90,1815156,0,1815176,1304,20,1816636,45,1971546.0,5724436.0,1,126.0,1817236,703,1460,1,7320.0,2770.0,0
145,5948286,1,5948306,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
36,797746,1,797766,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
185,6249866,0,6249876,1327,10,6252426,92,6255596,5724436.0,1,126.0,1817236.0,0,2550,1,3170,2770.0,0
22,683296,1,683316,220,20,684576,7,692156,694936,2,23,1817236.0,0,1260,1,7580,2780,1
126,5791826,1,5791846,1304,20,5794796,53,5802106,5804876,2,139,1817236.0,0,2950,1,7310,2770,1
147,5951216,1,5951236,1294,20,5954176,67,5961506,5964276,2,167,1817236.0,0,2940,1,7330,2770,1
33,775126,1,775146,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
11,517046,0,517056,1293,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
124,5788946,1,5788956,220,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
154,6016726,1,6016746,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
6,483286,0,483306,220,20,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
27,729046,1,729056,220,10,1902141.0,43.0,1971546.0,5724436.0,1,126.0,1817236.0,0,1460.0,2,7320.0,2770.0,0
161,6064946,1,6064966,220,20,6066186,76,6073766,6076546,2,186,1817236.0,0,1220,1,7580,2780,1
