Index,Time,Process Speed Ratio,Environment,Outer Temp,Page Count,Inner Temp,Humidity,LSU Temp,TRC Enable,TRC Elapsed Time,TRC Delta CV Y,TRC Delta CV M,TRC Delta CV C,TRC Delta CV K,TRC Delta DC Y,TRC Delta DC M,TRC Delta DC C,TRC Delta DC K,TRC Delta VPP Y,TRC Delta VPP M,TRC Delta VPP C,TRC Delta VPP K,TRC Delta LD Y,TRC Delta LD M,TRC Delta LD C,TRC Delta LD K,TRC CMS ERR 1 Y,TRC CMS ERR 2 Y,TRC CMS ERR 3 Y,TRC CMS ERR 4 Y,TRC CMS ERR 5 Y,TRC CMS ERR 6 Y,TRC CMS ERR 7 Y,TRC CMS ERR 8 Y,TRC CMS ERR 1 M,TRC CMS ERR 2 M,TRC CMS ERR 3 M,TRC CMS ERR 4 M,TRC CMS ERR 5 M,TRC CMS ERR 6 M,TRC CMS ERR 7 M,TRC CMS ERR 8 M,TRC CMS ERR 1 C,TRC CMS ERR 2 C,TRC CMS ERR 3 C,TRC CMS ERR 4 C,TRC CMS ERR 5 C,TRC CMS ERR 6 C,TRC CMS ERR 7 C,TRC CMS ERR 8 C,TRC CMS ERR 1 K,TRC CMS ERR 2 K,TRC CMS ERR 3 K,TRC CMS ERR 4 K,TRC CMS ERR 5 K,TRC CMS ERR 6 K,TRC CMS ERR 7 K,TRC CMS ERR 8 K,TCC TC Y,TCC TC M,TCC TC C,TCC TC K,TCC CT Y,TCC CT M,TCC CT C,TCC CT K,TCC OT Y,TCC OT M,TCC OT C,TCC OT K,TCC CV Y,TCC CV M,TCC CV C,TCC CV K,TCC SM Y,TCC SM M,TCC SM C,TCC SM K,TCC DOT Y,TCC DOT M,TCC DOT C,TCC DOT K,TCC TA Y,TCC TA M,TCC TA C,TCC TA K,TCC EA Y,TCC EA M,TCC EA C,TCC EA K,TCC Page Y,TCC Page M,TCC Page C,TCC Page K,TCC BM Y,TCC BM M,TCC BM C,TCC BM K,LSU Temp MIN,LSU Temp MAX,LSU Temp AVG,LSU Temp DIF,ClassBinary
1,4619.618,100,1,0,466,0,2,15,2,0,1,0,1,0,-85,-150,-150,-42,-10,-10,-10,-10,-33,-48,-100,-49,0,5,-11,-13,-18,-2,-44,-61,0,18,16,28,26,21,25,45,0,29,48,61,82,70,92,127,8,-18,-30,-34,-23,-29,-34,-13,162.7883817,162.2427386,166.5186722,151.4325726,159.376556,159.903527,159.903527,149.8278008,-0.623443983,-0.096473029,-0.096473029,-0.17219917,130.5518672,129.4751037,129.5580913,129,5,6,2.326763485,10.54149378,380699619,469650637,427197013,590488358,1413101521,2828114701,2396754334,6268222691,1465635.321,2933462.101,2486034.78,6502031.217,200,200,200,401,-2,-1,-4.673236515,3.541493776,290,305,293.2251037,0,1
2,6156.818,100,1,0,504,0,3,24,2,0,-1,1,0,0,18,0,0,-22,0,0,0,0,26,45,5,61,0,-4,-10,-17,-28,-53,-33,-7,0,1,1,-8,-23,-40,-16,20,0,2,1,7,8,4,-7,0,-18,-16,3,4,6,15,14,-1,159.9731544,155.3073826,163.2375839,152.9328859,159.0161074,159.3932886,159.104698,149.5369128,-0.983892617,-0.606711409,-0.895302013,-0.463087248,130.0201342,129.9798658,130,129,5,6,3,11.98255034,144297891,199163275,182657065,654198677,1102983358,2199000229,1862592760,4873453474,1480322.511,2951446.302,2499914.974,6541231.674,345,345,345,501,-2,-1,-4,4.982550336,286,310,297.7825503,9,1
3,8343.618,100,1,2,449,0,4,27,2,0,0,-1,0,0,27,0,0,4,0,0,0,0,-27,-4,4,-21,0,-3,0,-1,5,0,-6,-17,0,-5,-7,-3,-1,3,4,-1,0,-7,-7,-7,-9,-8,-3,3,-7,-9,-17,-11,-19,-21,-11,-1,161.0335052,157.2641753,161.8363402,152.3608247,159,159,159,149.257732,-1,-1,-1,-0.742268041,130,129.2925258,130,129,5,6,3,13.77963918,396567911,738690724,667052198,754826688,1154488118,2300070798,1946510009,5141122248,1487517.579,2963713.434,2508213.698,6624801.495,213,213,213,414,-2,-1,-4,6.779639175,294,321,307.6881443,3,1
4,9232.418,100,0,0,354,1,0,24,2,0,0,0,0,0,-23,0,0,0,0,0,0,0,10,7,26,2,0,-1,2,12,4,26,27,64,0,-4,-2,-2,2,11,16,35,0,-5,-12,-11,-10,1,7,36,5,5,10,6,15,10,4,0,159.0052411,155.2316562,158.7830189,150.3867925,159.2358491,159.3417191,159.2368973,149.8207547,-0.764150943,-0.658280922,-0.763102725,-0.179245283,130,129,130,129,5.452830189,5.898322851,3.328092243,15,180841635,246708172,227421621,550021509,1434209847,2851761224,2409786786,6366524833,1503190.809,2989074.114,2525801.974,6673240.117,349,349,349,352,-1.547169811,-1.101677149,-3.671907757,8,302,326,314.4874214,3,1
5,10518.998,100,0,0,433,0,0,23,53,0,0,0,-1,0,-5,27,0,28,0,6,0,0,25,13,22,-18,0,-5,-7,-14,13,7,14,-27,0,-4,-13,-14,0,-10,-18,-38,0,-3,-1,-5,-3,7,9,-9,-7,-3,-4,-5,-3,-6,-4,2,153.0645514,150.4540481,155.0207877,149.4901532,159,159,159,149.5043764,-1,-1,-1,-0.495623632,130,129,129.238512,129,6,5,4,15,87540644,89367838,91689345,626092094,1380773380,2739386670,2313949355,6130725745,1510435.938,2996983.328,2531425.512,6707312.513,199,199,199,401,-1,-2,-3,8,305,328,317.3326039,1,1
6,15785.618,100,1,0,667,2,1,37,2,0,0,0,0,0,6,-22,0,-3,0,-4,0,0,21,-1,21,12,0,-2,-8,-8,-23,-5,20,20,0,7,11,12,18,37,59,34,0,-3,-3,-1,-7,-9,2,22,4,5,4,10,3,7,0,-1,148.9990619,147.0858349,152.4015009,150.9197936,157.184803,157.184803,157.184803,148.7893996,-1,-1,-1,-0.409943715,130,129,129,129,5.920262664,4.848030019,3.913227017,15,29479104,33086368,37230560,1592886906,3224605820,6392540080,5400000850,14422864742,1512280.348,2998200.961,2532667.531,6764626.145,207,207,207,661,-1.079737336,-2.151969981,-3.086772983,8,292,329,306.9038462,14,1
7,17852.818,100,1,0,600,0,2,28,53,0,0,-1,0,0,18,52,0,-1,0,11,16,0,-4,41,37,38,0,5,5,9,20,-3,-27,-22,0,-7,-12,-15,-23,-42,-64,-36,0,2,-2,-6,7,9,6,0,-4,-9,-5,-4,-9,0,-3,0,143,146,148,150.7884452,157,157,157,148.0654206,-1,-1,-1,-0.993203059,130,129,129,129,5,3,3,16.65250637,4350192,12154879,21121265,793201250,1784282566,3531659120,2983792691,8085139449,1515726,3000290,2534805,6868942.719,199,199,199,504,-2,-4,-4,9.652506372,297,325,311.9736619,9,1
8,19383.218,100,1,0,503,0,0,23,2,0,0,0,0,0,32,-25,0,-8,0,-4,4,0,-18,-28,-8,-36,0,-4,-2,-3,-24,-20,-18,-1,0,0,9,15,7,17,27,41,0,-5,-4,0,-1,-11,-4,9,11,15,6,3,2,-6,1,-3,143.2281432,145.7793505,146.8626145,150.8159867,157.429642,157.429642,157.429642,149.3355537,-1,-1,-1,-0.482098251,130,128.0074938,129,129,3.217318901,3,3,17.33222315,2263296,3977348,5978194,757821249,1821453853,3604327496,3045357830,8351596581,1516556.973,3000871.604,2535633.125,6953549.191,299,299,299,475,-3.782681099,-4,-4,10.33222315,307,330,318.8809326,5,1
9,21718.018,100,1,0,354,2,0,24,2,0,1,0,0,0,-51,5,0,13,0,5,0,0,17,7,1,-2,0,2,9,6,21,39,62,30,0,3,-1,-6,3,20,30,-8,0,-1,3,2,-2,2,16,24,-4,1,1,10,12,12,7,1,149.8475336,155.3654709,153.3778027,151.088565,158.235426,158.235426,158.235426,149.3587444,-1,-1,-1,-0.641255605,130.3744395,128,129,129,3,2.696188341,2.410313901,18,447482456,750939989,689922261,918353752,1354454407,2681643333,2264749860,6294915754,1518324.872,3006087.779,2538826.035,7056667.127,163,163,163,314,-4,-4.303811659,-4.589686099,11,307,331,319.8150224,1,1
10,55586.418,100,1,2,84,4,5,58,13,0,-1,0,0,0,136,-37,0,-9,16,-14,0,0,30,-1,22,20,0,-15,-23,-35,-39,-45,-34,56,0,6,10,6,-3,-9,-3,22,0,5,3,5,5,4,-13,18,6,-5,-1,-9,-11,-9,-5,-1,173.669344,166.5850067,161.2784471,152.8768407,157.9196787,158.768407,158.7643909,149.1994645,-0.099062918,0.749665328,0.745649264,-0.009370817,130.0843373,128,129,129,3.796519411,3.821954485,2.949129853,17.82329317,595310935,1189322090,1429482676,8174720253,1157852370,2286403190,1937261264,5344033310,1549822.462,3060583.612,2593164.873,7150365.863,53,53,53,73,-3.203480589,-3.178045515,-4.050870147,10.82329317,272,330,310.0789826,34,1
